epoch,accuracy,auc,loss,precision,recall,top_2_accuracy,top_k_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy,val_top_k_accuracy
0,0.2910550832748413,0.6342393159866333,1.883103847503662,0.368261456489563,0.11597637087106705,0.48434901237487793,0.48434901237487793,0.2402716875076294,0.6070589423179626,2.1406924724578857,0.27740678191185,0.14107824862003326,0.46129900217056274,0.46129900217056274
1,0.415307879447937,0.7630025148391724,1.4870611429214478,0.6152542233467102,0.21826477348804474,0.6171258687973022,0.6171258687973022,0.43809252977371216,0.7840780019760132,1.5157018899917603,0.5542587637901306,0.3158341646194458,0.6407244801521301,0.6407244801521301
2,0.5020691156387329,0.8287563323974609,1.279454231262207,0.6945492625236511,0.30601632595062256,0.702896773815155,0.702896773815155,0.497523695230484,0.8286063075065613,1.343624472618103,0.6134473085403442,0.375689834356308,0.6961935758590698,0.6961935758590698
3,0.5481554865837097,0.8589692115783691,1.1704390048980713,0.7168098092079163,0.36303186416625977,0.7441021203994751,0.7441021203994751,0.5070043802261353,0.8370735049247742,1.3093857765197754,0.6212756633758545,0.3983302712440491,0.7096363306045532,0.7096363306045532
4,0.5767693519592285,0.8757281303405762,1.1039072275161743,0.7312120199203491,0.4088352918624878,0.7699925899505615,0.7699925899505615,0.5449271202087402,0.8594582676887512,1.2291655540466309,0.6446909308433533,0.44417715072631836,0.7457195520401001,0.7457195520401001
5,0.5973543524742126,0.8889580368995667,1.0455615520477295,0.7369719743728638,0.4436741769313812,0.7944328784942627,0.7944328784942627,0.5541248321533203,0.8613755702972412,1.2622045278549194,0.6364678740501404,0.4712041914463043,0.7519456744194031,0.7519456744194031
6,0.6185406446456909,0.8992167115211487,0.998126208782196,0.7475438714027405,0.4790436029434204,0.8111625909805298,0.8111625909805298,0.5442196130752563,0.8532422780990601,1.3192802667617798,0.6196492314338684,0.46497806906700134,0.7426064610481262,0.7426064610481262
7,0.6362960934638977,0.9078850746154785,0.9551346302032471,0.7527539134025574,0.5051462650299072,0.8225868940353394,0.8225868940353394,0.5457761287689209,0.8529807329177856,1.3415980339050293,0.6167189478874207,0.47290220856666565,0.7369463443756104,0.7369463443756104
8,0.6559261679649353,0.918075442314148,0.9014050960540771,0.7580548524856567,0.5375800132751465,0.8404130935668945,0.8404130935668945,0.5841233730316162,0.8787755370140076,1.1392639875411987,0.6674268245697021,0.4969576895236969,0.7805292010307312,0.7805292010307312
9,0.6749195456504822,0.9258829355239868,0.8572512269020081,0.7708920836448669,0.5706504583358765,0.8526862859725952,0.8526862859725952,0.5852553844451904,0.8778479099273682,1.2062312364578247,0.6484635472297668,0.5225697159767151,0.7769916653633118,0.7769916653633118
