epoch,accuracy,auc,loss,precision,recall,top_2_accuracy,top_k_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy,val_top_k_accuracy
0,0.28935733437538147,0.6391537189483643,1.8325074911117554,0.38727933168411255,0.10165175050497055,0.4878152310848236,0.4878152310848236,0.39663222432136536,0.7402443289756775,1.6399827003479004,0.5124765038490295,0.2702702581882477,0.5853968858718872,0.5853968858718872
1,0.41498956084251404,0.7587125301361084,1.4930554628372192,0.6074284315109253,0.20418773591518402,0.6160647869110107,0.6160647869110107,0.4992217421531677,0.82664555311203,1.330260157585144,0.6244256496429443,0.3653601109981537,0.6936465501785278,0.6936465501785278
2,0.46747779846191406,0.8041884303092957,1.3602910041809082,0.6668734550476074,0.2661549746990204,0.6702507734298706,0.6702507734298706,0.4675251245498657,0.8207734823226929,1.3403189182281494,0.6010178327560425,0.3342295289039612,0.6902504563331604,0.6902504563331604
3,0.5021752119064331,0.8300031423568726,1.276214599609375,0.6866169571876526,0.31284263730049133,0.7040992975234985,0.7040992975234985,0.5381349921226501,0.8512442111968994,1.2513943910598755,0.6452710032463074,0.42960238456726074,0.729022204875946,0.729022204875946
4,0.5276765823364258,0.8454114198684692,1.2217774391174316,0.6991689205169678,0.3451702892780304,0.7278321981430054,0.7278321981430054,0.5544078350067139,0.8637107014656067,1.183632493019104,0.665691614151001,0.45082777738571167,0.741474449634552,0.741474449634552
5,0.5462809205055237,0.8567675948143005,1.1792670488357544,0.7093039155006409,0.3704948127269745,0.7444912195205688,0.7444912195205688,0.5568133592605591,0.8608686327934265,1.2471038103103638,0.6395437121391296,0.47601526975631714,0.7440215349197388,0.7440215349197388
6,0.5601457357406616,0.8663957118988037,1.1421607732772827,0.7156856656074524,0.39263609051704407,0.7615039348602295,0.7615039348602295,0.5262487530708313,0.8383855223655701,1.4243316650390625,0.5914773941040039,0.47530776262283325,0.7017121911048889,0.7017121911048889
7,0.5742227435112,0.8739954233169556,1.111421823501587,0.7235599756240845,0.40918898582458496,0.769072949886322,0.769072949886322,0.5756332278251648,0.8763726949691772,1.16373872756958,0.6518353819847107,0.497523695230484,0.7711900472640991,0.7711900472640991
8,0.5835956335067749,0.8804377913475037,1.08342444896698,0.7282529473304749,0.4228415787220001,0.7810986042022705,0.7810986042022705,0.5841233730316162,0.8828436136245728,1.1101309061050415,0.6798135042190552,0.4951181411743164,0.7801046967506409,0.7801046967506409
9,0.5954090356826782,0.8851205110549927,1.0632258653640747,0.7368295788764954,0.4382980167865753,0.7880309820175171,0.7880309820175171,0.576765239238739,0.8722302317619324,1.1606770753860474,0.6586446166038513,0.4840809404850006,0.7716145515441895,0.7716145515441895
