epoch,accuracy,auc,loss,precision,recall,top_2_accuracy,top_k_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy,val_top_k_accuracy
0,0.2651292681694031,0.6108568906784058,1.8767578601837158,0.32787948846817017,0.07158773392438889,0.45357760787010193,0.45357760787010193,0.3415876626968384,0.6939560174942017,1.8391543626785278,0.4558908939361572,0.22230082750320435,0.5205886363983154,0.5205886363983154
1,0.4055459201335907,0.752696692943573,1.5048213005065918,0.6142919659614563,0.1988469511270523,0.6066918969154358,0.6066918969154358,0.4687986373901367,0.8001724481582642,1.4942944049835205,0.5572108626365662,0.3810669183731079,0.6606763601303101,0.6606763601303101
2,0.46981218457221985,0.8050034046173096,1.3562589883804321,0.6629396080970764,0.26003608107566833,0.6714179515838623,0.6714179515838623,0.5249752402305603,0.8449370265007019,1.249886155128479,0.6499051451683044,0.3877175748348236,0.7199660539627075,0.7199660539627075
3,0.4986382722854614,0.8272659182548523,1.2856930494308472,0.6858471035957336,0.30269160866737366,0.7025784254074097,0.7025784254074097,0.5343143939971924,0.8535646796226501,1.247457504272461,0.6333333253860474,0.44361114501953125,0.7342578172683716,0.7342578172683716
4,0.5231139063835144,0.8441261053085327,1.226556420326233,0.6974419355392456,0.33558517694473267,0.7254270911216736,0.7254270911216736,0.5579453706741333,0.8650088906288147,1.170598030090332,0.675125777721405,0.4366775155067444,0.7527946829795837,0.7527946829795837
5,0.5444062948226929,0.8554946780204773,1.1831563711166382,0.7110759019851685,0.3649064600467682,0.7416970133781433,0.7416970133781433,0.5265317559242249,0.8417984843254089,1.3315973281860352,0.6184290647506714,0.4311589002609253,0.7242110967636108,0.7242110967636108
6,0.5611360669136047,0.8654981255531311,1.1459593772888184,0.7183126211166382,0.386658638715744,0.7544654011726379,0.7544654011726379,0.5370029807090759,0.8557491302490234,1.2515877485275269,0.6229444742202759,0.4556388854980469,0.73652184009552,0.73652184009552
7,0.5723481774330139,0.8726569414138794,1.116036057472229,0.7271514534950256,0.40494465827941895,0.7662433981895447,0.7662433981895447,0.5896419882774353,0.8841053247451782,1.0893253087997437,0.6911584138870239,0.47785481810569763,0.7815197110176086,0.7815197110176086
8,0.5836310386657715,0.8790634870529175,1.0898853540420532,0.7272671461105347,0.4206486642360687,0.7779152989387512,0.7779152989387512,0.5995472073554993,0.8845356702804565,1.0835256576538086,0.6974704265594482,0.48379793763160706,0.7833592891693115,0.7833592891693115
9,0.5962932705879211,0.8849396705627441,1.0639231204986572,0.7367737293243408,0.44133979082107544,0.7858380675315857,0.7858380675315857,0.5988397002220154,0.8854863047599792,1.0893399715423584,0.6866474747657776,0.5057308673858643,0.7835007905960083,0.7835007905960083
10,0.6001485586166382,0.8890482187271118,1.0457478761672974,0.73802250623703,0.4527641236782074,0.7922399640083313,0.7922399640083313,0.5943115949630737,0.8865600228309631,1.0941616296768188,0.6782872080802917,0.5065798759460449,0.7844913005828857,0.7844913005828857
11,0.613023042678833,0.8940386772155762,1.022948980331421,0.7451345324516296,0.4671948552131653,0.8009408116340637,0.8009408116340637,0.5804443359375,0.8787197470664978,1.1302111148834229,0.6673720479011536,0.4908730685710907,0.7727465629577637,0.7727465629577637
12,0.6242351531982422,0.8993402719497681,0.9981675744056702,0.7493558526039124,0.483464777469635,0.809146523475647,0.809146523475647,0.5992642045021057,0.889733076095581,1.0722311735153198,0.6901652216911316,0.508419394493103,0.7932644486427307,0.7932644486427307
13,0.6276305913925171,0.9025088548660278,0.9825933575630188,0.7537047266960144,0.49290841817855835,0.8135676980018616,0.8135676980018616,0.5968586206436157,0.8859500885009766,1.1123764514923096,0.672471284866333,0.5136550068855286,0.78802889585495,0.78802889585495
14,0.6364022493362427,0.9052359461784363,0.9689250588417053,0.7557276487350464,0.5040144324302673,0.8200756907463074,0.8200756907463074,0.6050658226013184,0.8893150091171265,1.0806516408920288,0.6828587651252747,0.5191736221313477,0.7965190410614014,0.7965190410614014
15,0.6391610503196716,0.9078530669212341,0.9565447568893433,0.7534893155097961,0.5136349201202393,0.824744462966919,0.824744462966919,0.6117164492607117,0.8961094617843628,1.0590291023254395,0.6888168454170227,0.541248083114624,0.8051506876945496,0.8051506876945496
